SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7 Ligi Ln,White Plains,NY,10607,1295000,4,3.5,White Plains,3200,26572,2020,6,405,,Active,,,http://www.redfin.com/NY/White-Plains/7-Ligi-LN-10607/home/171795553,OneKey,H6012547,N,Y,41.0390683,-73.8154394
MLS Listing,,Condo/Co-op,4 Martine Ave #1609,White Plains,NY,10606,382000,1,1.0,Seasons Condominiums,774,,1990,7,494,625,Active,,,http://www.redfin.com/NY/White-Plains/4-Martine-Ave-10606/unit-1609/home/20189116,OneKey,H6039917,N,Y,41.0300922,-73.7730517
MLS Listing,,Single Family Residential,4 Collyer Pl,White Plains,NY,10605,795000,3,2.0,White Plains,1560,7653,1958,7,510,,Active,,,http://www.redfin.com/NY/White-Plains/4-Collyer-Pl-10605/home/20182324,OneKey,H6039728,N,Y,40.9912158,-73.7419247
MLS Listing,,Condo/Co-op,499 N Broadway Unit 4C,White Plains,NY,10603,449000,3,2.0,The Wedgewood,1500,68245,1966,7,299,1404,Active,,,http://www.redfin.com/NY/White-Plains/499-N-Broadway-10603/unit-4C/home/52329289,OneKey,H6039087,N,Y,41.0500824,-73.7711821
MLS Listing,,Condo/Co-op,2 Westchester Ave Unit 1Q,White Plains,NY,10601,189900,1,1.0,Broadpark Lodge Corp,800,,1927,7,237,705,Active,,,http://www.redfin.com/NY/White-Plains/2-Westchester-Ave-10601/unit-1Q/home/21823613,OneKey,H6039534,N,Y,41.0342283,-73.7621189
MLS Listing,,Condo/Co-op,302 Church St Unit 2C,White Plains,NY,10603,499990,2,1.5,The Wimbledon,1455,,1985,7,344,720,Active,,,http://www.redfin.com/NY/White-Plains/302-Church-St-10603/unit-2C/home/21822879,OneKey,H6031273,N,Y,41.0422858,-73.7698032
MLS Listing,,Single Family Residential,90 Valimar Ct,White Plains,NY,10603,715000,3,3.5,Valimar,2239,5724,2000,7,319,209,Active,,,http://www.redfin.com/NY/White-Plains/90-Valimar-Ct-10603/home/20032737,OneKey,H6039122,N,Y,41.0602788,-73.7776398
MLS Listing,,Single Family Residential,15 Hotel Dr,White Plains,NY,10605,1395000,4,4.0,Gedney Farms,3588,17764,1920,8,389,,Active,,,http://www.redfin.com/NY/White-Plains/15-Hotel-Dr-10605/home/20184944,OneKey,H6038597,N,Y,41.0099389,-73.748728
MLS Listing,,Single Family Residential,10 Orchard Pkwy,White Plains,NY,10606,720000,5,4.0,Fisher Hill,2478,16226,1928,9,291,,Active,,,http://www.redfin.com/NY/White-Plains/10-Orchard-Pkwy-10606/home/20186524,OneKey,H6012781,N,Y,41.0226206,-73.7780994
MLS Listing,,Single Family Residential,133 Topland Rd,White Plains,NY,10605,679000,4,2.0,Haviland Manor,1662,7518,1953,9,409,,Active,,,http://www.redfin.com/NY/White-Plains/133-Topland-Rd-10605/home/20184047,OneKey,H6024363,N,Y,41.0154473,-73.7302481
MLS Listing,,Multi-Family (2-4 Unit),146 Ferris Ave,White Plains,NY,10603,1395000,8,6.0,White Plains,4560,3589,1924,10,306,,Active,,,http://www.redfin.com/NY/White-Plains/146-Ferris-Ave-10603/home/20192331,OneKey,H6039417,N,Y,41.0404712,-73.7753187
MLS Listing,,Condo/Co-op,10 City Pl Unit 14G,White Plains,NY,10601,778000,2,2.5,Trump Tower At City Cent,1359,,2005,10,572,1358,Active,,,http://www.redfin.com/NY/White-Plains/10-City-Pl-10601/unit-14G/home/28454694,OneKey,H6038831,N,Y,41.0322613,-73.7644255
MLS Listing,,Condo/Co-op,2 Overlook Rd Unit 1D2,White Plains,NY,10605,110000,0,1.0,The Gaylord,600,95444,1952,10,183,597,Active,,,http://www.redfin.com/NY/White-Plains/2-Overlook-Rd-10605/unit-1D2/home/49728013,OneKey,H6038308,N,Y,41.0188753,-73.7589097
MLS Listing,,Condo/Co-op,20 Old Mamaroneck Rd Unit 4B,White Plains,NY,10605,125000,0,1.0,Crystal Tower,550,46086,1964,10,227,630,Active,,,http://www.redfin.com/NY/White-Plains/20-Old-Mamaroneck-Rd-10605/unit-4B/home/171718254,OneKey,H6039398,N,Y,41.0222437,-73.7620353
MLS Listing,,Condo/Co-op,28 A Hillside Ter Unit A,White Plains,NY,10601,319900,1,1.0,Hillside Village,782,,1977,10,409,271,Active,,,http://www.redfin.com/NY/White-Plains/28-Hillside-Ter-10601/unit-A/home/20192690,OneKey,H6038576,N,Y,41.03552,-73.772976
MLS Listing,,Single Family Residential,70 Legacy Cir,White Plains,NY,10603,695000,4,2.5,Valimar,2550,6125,2000,12,273,209,Active,,,http://www.redfin.com/NY/White-Plains/70-Legacy-Cir-10603/home/20029445,OneKey,H6012879,N,Y,41.0589772,-73.7781913
MLS Listing,,Single Family Residential,50 Woodlands Ave,White Plains,NY,10607,1189000,4,2.5,White Plains,3100,15242,2019,13,384,,Active,,,http://www.redfin.com/NY/White-Plains/50-Woodlands-Ave-10607/home/20128534,OneKey,H6038855,N,Y,41.0333596,-73.8375644
MLS Listing,,Condo/Co-op,29 Winding Ridge Rd,White Plains,NY,10603,825000,4,3.5,Winding Ridge,2900,436,2000,13,284,500,Active,,,http://www.redfin.com/NY/White-Plains/29-Winding-Ridge-Rd-10603/home/20032692,OneKey,H6038502,N,Y,41.0452271,-73.7890661
MLS Listing,,Condo/Co-op,8 Bryant Cres Unit 2I,White Plains,NY,10605,359000,4,2.0,Bryant Gardens,1450,,1950,14,248,1700,Active,,,http://www.redfin.com/NY/White-Plains/8-Bryant-Cres-10605/unit-2I/home/21450130,OneKey,H6038674,N,Y,41.0194236,-73.7510034
MLS Listing,,Condo/Co-op,21 Lake St Unit 5K,White Plains,NY,10603,384999,1,1.5,The Parkview,1007,87076,1989,14,382,513,Active,,,http://www.redfin.com/NY/White-Plains/21-Lake-St-10603/unit-5K/home/20191840,OneKey,H6038590,N,Y,41.0374167,-73.7618515
MLS Listing,,Single Family Residential,14 Reynal Xing,Scarsdale,NY,10583,1298000,4,3.0,Scarsdale,3149,13068,1952,14,412,,Active,,,http://www.redfin.com/NY/Scarsdale/14-Reynal-Xing-10583/home/26768016,OneKey,H6027495,N,Y,40.9961872,-73.763736
MLS Listing,,Condo/Co-op,10 Cottage Pl Unit 10G,White Plains,NY,10601,390000,1,1.0,The Pavilion Condo,834,,1985,14,468,580,Active,,,http://www.redfin.com/NY/White-Plains/10-Cottage-Pl-10601/unit-10G/home/20191350,OneKey,H6037398,N,Y,41.034798,-73.7689759
MLS Listing,,Single Family Residential,148 Trenton Ave,White Plains,NY,10606,499900,3,1.5,Battle Hill,1160,6504,1924,14,431,,Active,,,http://www.redfin.com/NY/White-Plains/148-Trenton-Ave-10606/home/20190337,OneKey,H6027194,N,Y,41.028935,-73.7872914
MLS Listing,,Condo/Co-op,355 Old Tarrytown Rd #407,White Plains,NY,10603,390000,2,2.0,Hillside Park Ii,1150,,2002,14,339,270,Active,,,http://www.redfin.com/NY/White-Plains/355-Old-Tarrytown-Rd-10603/unit-407/home/20016399,OneKey,H6038698,N,Y,41.047681,-73.792442
MLS Listing,,Condo/Co-op,5 Renaissance Sq Unit 16E,White Plains,NY,10601,1350000,2,2.5,Residences Ritz Carlton,1734,,2008,15,779,1988,Active,,,http://www.redfin.com/NY/White-Plains/5-Renaissance-Sq-10601/unit-16E/home/26767534,OneKey,H6038662,N,Y,41.0333686,-73.7678268
MLS Listing,,Single Family Residential,175 Greenridge Ave,White Plains,NY,10605,650000,3,2.5,Highlands,1545,5942,1926,16,421,,Active,,,http://www.redfin.com/NY/White-Plains/175-Greenridge-Ave-10605/home/20187272,OneKey,H6038605,N,Y,41.0130297,-73.7613688
MLS Listing,,Condo/Co-op,83 N Broadway Unit 1F,White Plains,NY,10603,399000,1,1.0,The Chateau,850,,1921,17,469,445,Active,,,http://www.redfin.com/NY/White-Plains/83-N-Broadway-10603/unit-1F/home/21822301,OneKey,H6038304,N,Y,41.039429,-73.76773
MLS Listing,,Single Family Residential,327 Ridgeway,White Plains,NY,10605,1299000,3,4.0,White Plains,3300,18295,1930,18,394,,Active,,,http://www.redfin.com/NY/White-Plains/327-Ridgeway-10605/home/20182283,OneKey,H6038335,N,Y,41.0074214,-73.7469812
MLS Listing,,Single Family Residential,1255 Post Rd,Scarsdale,NY,10583,899000,5,2.5,Scarsdale,2307,11103,1910,19,390,,Active,,,http://www.redfin.com/NY/Scarsdale/1255-Post-Rd-10583/home/20061241,OneKey,H6038185,N,Y,41.0148773,-73.7792484
MLS Listing,,Single Family Residential,34 Park Cir,White Plains,NY,10603,699000,4,2.5,Highland Park,2228,8011,1938,19,314,,Active,,,http://www.redfin.com/NY/White-Plains/34-Park-Cir-10603/home/20192221,OneKey,H6036106,N,Y,41.0394717,-73.7730436
MLS Listing,,Condo/Co-op,121 N Broadway Unit 11F,White Plains,NY,10603,249000,2,1.0,The Sulgrave,1000,162923,1954,19,249,1077,Active,,,http://www.redfin.com/NY/White-Plains/121-N-Broadway-10603/unit-11F/home/147193489,OneKey,H6037942,N,Y,41.043017,-73.7692807
MLS Listing,,Single Family Residential,40 Alexander Ave,White Plains,NY,10606,559000,3,1.5,White Plains,1568,4918,1927,20,357,,Active,,,http://www.redfin.com/NY/White-Plains/40-Alexander-Ave-10606/home/20184792,OneKey,H6036407,N,Y,41.0265841,-73.7840283
MLS Listing,,Condo/Co-op,8 Granada Cres #7,White Plains,NY,10603,349000,2,2.0,Granada,1180,436,1974,21,296,740,Active,,,http://www.redfin.com/NY/White-Plains/8-Granada-Cres-10603/unit-7/home/20130914,OneKey,H6037388,N,Y,41.0528486,-73.7913148
MLS Listing,,Single Family Residential,27 Heatherbloom Rd,White Plains,NY,10605,1049000,4,3.0,White Plains,3078,17563,1929,21,341,,Active,,,http://www.redfin.com/NY/White-Plains/27-Heatherbloom-Rd-10605/home/20185098,OneKey,H6037868,N,Y,41.015293,-73.7496474
